url,text
http://www.bbc.co.uk/history/0/,BBC History - BBC History - BBC.com
http://www.bbc.co.uk/history/0/22623324,BBC History - Royal baby: How births have been announced
http://www.bbc.co.uk/history/0/22449987,BBC History - Northern Ireland's 'Path to Peace'
http://www.bbc.co.uk/history/0/24572753,BBC History - Margaret Tudor: Scotland's forgotten queen
http://www.bbc.co.uk/history/0/21670737,BBC History - Pompeii: What objects did people take as they fled?
http://www.bbc.co.uk/history/0/22840690,BBC History - The White Queen: The real story of Elizabeth Woodville
http://www.bbc.co.uk/history/0/22717883,BBC History - .
http://www.bbc.co.uk/history/0/21770935,BBC History - Gretna dream: Why English lovers eloped to Scotland
http://www.bbc.co.uk/history/0/20105140,Nuclear test veteran who flew through a mushroom cloud - BBC
http://www.bbc.co.uk/history/0/21245426,BBC History - Why don't we still drive steam cars?
http://www.bbc.co.uk/history/0/20205616,BBC History - GCHQ secret nearly blown by notes left in London pub
http://www.bbc.co.uk/history/0/21261553,BBC History - In pictures: Who was the real Richard III?
http://www.bbc.co.uk/history/0/23225725,"The White Queen, Elizabeth Woodville: Was she a witch? - BBC"
http://www.bbc.co.uk/history/0/22301464,How Turner captured the death of sail - BBC
http://www.bbc.co.uk/history/0/20180757,BBC History - In pictures: Letters home from the front
http://www.bbc.co.uk/history/0/20979973,BBC History - Why the Industrial Revolution happened in Britain
http://www.bbc.co.uk/history/0/23605029,BBC History - Family history: How to begin your family search
http://www.bbc.co.uk/history/0/23931340,BBC History - The Wipers Times: the funny side of World War I
http://www.bbc.co.uk/history/0/22771952,Is the absence of violence the same thing as real peace? - BBC
http://www.bbc.co.uk/history/0/23815398,Martin Luther King's I Have a Dream speech: What does it tell us - BBC
http://www.bbc.co.uk/history/0/20122581,BBC History - Baby killer? The last woman hanged in Edinburgh
http://www.bbc.co.uk/history/0/20428167,BBC History - The opium wars: When Britain made war on China
http://www.bbc.co.uk/history/0/23028830,BBC History - Presenting the past: History on TV
http://www.bbc.co.uk/history/0/20700219,BBC History - The women who helped save wartime Christmas
http://www.bbc.co.uk/history/0/22561595,"BBC History - Amelia Earhart, the first woman to fly the Atlantic"
http://www.bbc.co.uk/history/0/20311399,BBC History - How we became addicted to sugar
http://www.bbc.co.uk/history/0/22786616,BBC History - Apartheid's roots: The Natives Land Act
http://www.bbc.co.uk/history/0/19923902,BBC History - The WWII interrogator who used kindness over violence
http://www.bbc.co.uk/history/0/22387137,BBC History - John Knox and the Monstrous Regiment of Women
http://www.bbc.co.uk/history/0/19270734,BBC History - Edward Payson Weston: 'The first sporting superstar'
http://www.bbc.co.uk/history/0/22642686,BBC History - Highlights from Glasgow's Burrell Collection
http://www.bbc.co.uk/history/0/20031142,BBC History - Stow Maries: How warfare took to the air
http://www.bbc.co.uk/history/0/22555010,BBC History - Derry-Londonderry: A Short History
http://www.bbc.co.uk/history/0/22469185,BBC History - Derry/Londonderry: A Short History
http://www.bbc.co.uk/history/0/23574430,The White Queen - What happened to the Princes in the Tower? - BBC
http://www.bbc.co.uk/history/0/23620012,BBC History - In pictures: Who was the real Richard III? - BBC.com
http://www.bbc.co.uk/history/0/23632255,BBC History - Scottish Enlightenment: the age of genius in Edinburgh
http://www.bbc.co.uk/history/0/22756895,BBC History - Scotch myth: How Sir Walter Scott turned Scotland tartan
http://www.bbc.co.uk/history/0/22406644,BBC History - Culture wars: why attack heritage?
http://www.bbc.co.uk/history/0/21498933,The Victorian crimes we remember today - BBC
http://www.bbc.co.uk/history/0/19442872,BBC History - How Romans made marble statues 'real'
http://www.bbc.co.uk/history/0/23681157,BBC History - The White Queen and The White Princess: What ...
http://www.bbc.co.uk/history/0/21629772,"BBC History - In pictures: Francis Walsingham, Elizabeth I's spy master"
http://www.bbc.co.uk/history/0/25436686,Boxer Jack Johnson's fight against inequality - BBC
http://www.bbc.co.uk/history/0/24465242,The UK's worst mine disaster - BBC
http://www.bbc.co.uk/history/0/22517894,BBC History - Glasgow 1938: Last exhibition of the British Empire
http://www.bbc.co.uk/history/0/23347450,BBC History - The White Queen and medieval birth for a royal baby
http://www.bbc.co.uk/history/0/19465391,BBC History - The Scot who shot the American Civil War
http://www.bbc.co.uk/history/0/21525201,Dr Livingstone's medical legacy - BBC
http://www.bbc.co.uk/history/0/19429391,BBC History - Could we stomach a return to a wartime diet?
http://www.bbc.co.uk/history/0/23782042,BBC History - Why Belfast said no to the slave trade
http://www.bbc.co.uk/history/0/21835405,"BBC History - James Dewar, the man who invented the thermos flask"
http://www.bbc.co.uk/history/0/25870789,BBC History - The early Stuarts: marriage is power - BBC.com
http://www.bbc.co.uk/history/0/22846633,BBC History - Derry-Londonderry: City of contrasts
http://www.bbc.co.uk/history/0/22095027,BBC History - How anarchists exposed secret nuclear bunkers
http://www.bbc.co.uk/history/0/21548716,England's most feared witch hunters - BBC
http://www.bbc.co.uk/history/0/21048713,BBC History - Skivers versus strivers: The roots of the welfare state
http://www.bbc.co.uk/history/0/23183272,BBC History - How the Nazis undermined eugenics
http://www.bbc.co.uk/history/0/24709759,Hard work and herring girls - BBC
http://www.bbc.co.uk/history/0/21034983,The men who created the steam engine - BBC
