url,text
http://www.bbc.co.uk/webwise/0/,BBC WebWise - BBC WebWise
http://www.bbc.co.uk/webwise/0/22562675,BBC WebWise - What is broadband speed?
http://www.bbc.co.uk/webwise/0/22717887,BBC WebWise - What is smart TV?
http://www.bbc.co.uk/webwise/0/25859561,BBC WebWise - Sexting: What parents need to know
http://www.bbc.co.uk/webwise/0/22562913,BBC WebWise - What is a search engine?
http://www.bbc.co.uk/webwise/0/25879514,BBC WebWise - Parenting online: Know your child
http://www.bbc.co.uk/webwise/0/25562719,BBC WebWise - Craven part 5: Mark Henderson's appeal
http://www.bbc.co.uk/webwise/0/22205391,BBC WebWise - How do I get broadband?
http://www.bbc.co.uk/webwise/0/26031831,BBC Poll highlights online dangers
http://www.bbc.co.uk/webwise/0/22728224,BBC WebWise - How to shop safely and securely online
http://www.bbc.co.uk/webwise/0/22562918,BBC WebWise - How do I get email?
http://www.bbc.co.uk/webwise/0/25562718,BBC WebWise - Craven part 4: Pushed to the brink
http://www.bbc.co.uk/webwise/0/21259413,BBC WebWise - Top 10 online safety tips
http://www.bbc.co.uk/webwise/0/25812110,BBC WebWise - Webcam safety with Jacqueline Jossa
http://www.bbc.co.uk/webwise/0/22717888,BBC WebWise - What can I safely download?
http://www.bbc.co.uk/webwise/0/25562715,BBC WebWise - Craven part 1: A tweet too far
http://www.bbc.co.uk/webwise/0/25917527,"BBC WebWise - Parenting online: controls, locks and chat"
http://www.bbc.co.uk/webwise/0/22728222,BBC WebWise - Watching online
http://www.bbc.co.uk/webwise/0/23767790,BBC WebWise - How to secure your broadband wi-fi
http://www.bbc.co.uk/webwise/0/21259412,BBC WebWise - Parental tools help make the web safer
http://www.bbc.co.uk/webwise/0/21536149,BBC WebWise - Open letter to my listeners
http://www.bbc.co.uk/webwise/0/22025935,BBC WebWise - Partner resources
http://www.bbc.co.uk/webwise/0/22717886,BBC WebWise - About social networks and blogs
http://www.bbc.co.uk/webwise/0/22718822,BBC WebWise - Social media and libel
http://www.bbc.co.uk/webwise/0/20211125,BBC WebWise - Body Beautiful season: 'I want to change my body'
http://www.bbc.co.uk/webwise/0/21428918,BBC WebWise - A 'Dragon' test for online profiles
http://www.bbc.co.uk/webwise/0/25562717,BBC WebWise - Craven part 3: Social media 101
http://www.bbc.co.uk/webwise/0/21533557,BBC WebWise - ShareTakeCare: Online privacy and safety
http://www.bbc.co.uk/webwise/0/22728223,BBC WebWise - Listening online
http://www.bbc.co.uk/webwise/0/22717881,BBC WebWise - What is internet security?
http://www.bbc.co.uk/webwise/0/22728226,BBC WebWise - What is connected TV?
http://www.bbc.co.uk/webwise/0/21293030,"BBC WebWise - They share, but do they take care?"
http://www.bbc.co.uk/webwise/0/22562353,BBC WebWise - What is a web browser?
http://www.bbc.co.uk/webwise/0/25562716,BBC WebWise - Craven part 2: An inspector calls
http://www.bbc.co.uk/webwise/0/22710114,BBC WebWise - What is smart television?
http://www.bbc.co.uk/webwise/0/22717889,BBC WebWise - What can I safely upload?
http://www.bbc.co.uk/webwise/0/22710117,BBC WebWise - Social media and libel
